FONTE,    PRODUÇÃO  ,    IMPORTAÇÃO  ,ANO
 LENHA ,25965,0,2003
 PRODUTOS DA CANA ,28357,0,2003
 OUTRAS FONTES PRIMÁRIAS ,5786,0,2003
 ENERGIA PRIMÁRIA TOTAL ,183865,33556,2003
 ÓLEO DIESEL ,0,3239,2003
 ÓLEO COMBUSTIVEL ,0,89,2003
 GASOLINA ,0,142,2003
 GLP ,0,1246,2003
 NAFTA ,0,2827,2003
 QUEROSENE ,0,289,2003
 GÁS DE CIDADE E DE COQUERIA ,0,0,2003
 COQUE DE CARVÃO MINERAL ,0,1821,2003
 URÂNIO CONTIDO NO UO2,0,1283,2003
 ELETRICIDADE,0,3195,2003
 CARVÃO VEGETAL ,0,16,2003
 ÁLCOOL ETÍLICO ANIDRO E HIDRATADO ,0,3,2003
 OUTRAS SECUNDÁRIAS DE PETRÓLEO ,0,2173,2003
 PRODUTOS NÃO ENERGÉTICOS DE PETRÓLEO ,0,450,2003
 ALCATRÃO ,0,0,2003
 ENERGIA SECUNDÁRIA TOTAL ,0,16775,2003
 TOTAL  ,183865,50331,2003
 PETRÓLEO ,74927,19669,2002
 GÁS NATURAL ,15416,4725,2002
 CARVÃO VAPOR ,1936,2105,2002
 CARVÃO METALÚRGICO ,63,6896,2002
 URÂNIO U3O8 ,3335,3580,2002
 ENERGIA HIDRÁULICA ,24604,0,2002
 LENHA ,23645,0,2002
